Date,Adj Close,Close,High,Low,Open,Volume,Daily Return,MA20,MA50,30D Volatility,Cumulative Return,Cumulative Return %,Running Maximum,Drawdown,RSI,MACD,MACD Signal,MACD Histogram,BB Middle,BB Upper,BB Lower,Support 20D,Resistance 20D
2000-01-03,5.333704471588135,16.63541603088379,16.958332061767578,16.37708282470703,16.875,209280,,,,,,,16.63541603088379,0.0,,0.0,0.0,0.0,,,,,
2000-01-04,4.949626922607422,15.4375,16.57291603088379,15.308333396911621,16.57291603088379,547680,-7.200998331871277,,,,-0.07200998331871278,-7.200998331871277,16.63541603088379,-7.200998331871279,,-0.09556025317591832,-0.019112050635183665,-0.07644820254073466,,,,,
2000-01-05,4.808685302734375,14.997916221618652,16.04166603088379,14.583333015441895,14.583333015441895,3660912,-2.847506256721277,,,,-0.09843455710546123,-9.843455710546124,16.63541603088379,-9.843455710546129,,-0.20440690390341487,-0.05617102128882991,-0.14823588261458495,,,,,
2000-01-06,5.0805463790893555,15.845832824707031,16.0,15.083333015441895,15.083333015441895,1429296,5.653562738710027,,,,-0.047463989160889564,-4.746398916088957,16.63541603088379,-4.746398916088963,,-0.21971612455291023,-0.08888004194164598,-0.13083608261126425,,,,,
2000-01-07,5.074534893035889,15.827082633972168,16.25,15.25,15.375,1036488,-0.1183288435659069,,,,-0.048591114007064284,-4.859111400706428,16.63541603088379,-4.859111400706441,,-0.2307023824474257,-0.11724451004280192,-0.11345787240462377,,,,,
2000-01-10,5.142667770385742,16.039583206176758,16.4375,15.833333015441895,15.833333015441895,1253616,1.3426389254357352,,,,-0.03581712796366865,-3.581712796366865,16.63541603088379,-3.581712796366875,,-0.21972914988182168,-0.1377414380106059,-0.08198771187121578,,,,,
2000-01-11,4.980352878570557,15.533332824707031,16.04166603088379,15.25,16.04166603088379,410688,-3.1562564622924394,,,,-0.06624921217063218,-6.624921217063218,16.63541603088379,-6.624921217063228,,-0.24901249781938617,-0.15999564997236196,-0.08901684784702421,,,,,
2000-01-12,5.049820899963379,15.75,15.916666030883789,15.625,15.833333015441895,138792,1.394853105499294,,,,-0.053224760308970165,-5.3224760308970165,16.63541603088379,-5.322476030897014,,-0.25183355133320084,-0.17836323024452974,-0.0734703210886711,,,,,
2000-01-13,5.0231032371521,15.666666030883789,15.833333015441895,15.541666030883789,15.833333015441895,55128,-0.5291045658172178,,,,-0.058234191330202356,-5.823419133020236,16.63541603088379,-5.823419133020223,,-0.25782160445633906,-0.1942549050868916,-0.06356669936944745,,,,,
2000-01-14,5.0017266273498535,15.600000381469727,15.916666030883789,15.541666030883789,15.75,452544,-0.42552543906051454,,,,-0.06224164442246627,-6.224164442246627,16.63541603088379,-6.224164442246618,,-0.2648930186290759,-0.20838252779532848,-0.0565104908337474,,,,,
2000-01-17,5.021097660064697,15.660415649414062,15.791666030883789,15.5,15.791666030883789,3204912,0.38727734914736356,,,,-0.058609918721577725,-5.860991872157772,16.63541603088379,-5.860991872157752,,-0.26259512495541415,-0.21922504722734562,-0.04337007772806853,,,,,
2000-01-18,5.086557865142822,15.864583015441895,16.331249237060547,15.545832633972168,15.625,947544,1.30371613754372,,,,-0.046336864314714954,-4.633686431471496,16.63541603088379,-4.633686431471486,,-0.24151538846294152,-0.2236831154744648,-0.017832272988476727,,,,,
2000-01-19,5.034457206726074,15.702082633972168,16.241666793823242,15.625,15.887499809265137,986760,-1.0242965813318627,,,,-0.056105203210961574,-5.610520321096157,16.63541603088379,-5.610520321096147,,-0.23521060667339988,-0.2259886137142518,-0.009221992959148079,,,,,
2000-01-20,4.958977222442627,15.466666221618652,15.75,15.375,15.666666030883789,617760,-1.4992687138467908,,,,-0.07025672259084736,-7.025672259084736,16.63541603088379,-7.0256722590847325,,-0.24637015689300412,-0.23006492235000225,-0.016305234543001867,,,,,
2000-01-21,4.933595180511475,15.387499809265137,15.520833015441895,15.291666030883789,15.520833015441895,143040,-0.5118518187381627,,,,-0.0750156304658619,-7.50156304658619,16.63541603088379,-7.501563046586184,35.59404136606889,-0.25862102649048957,-0.23577614317809975,-0.02284488331238982,,,,,
2000-01-24,4.7452287673950195,14.800000190734863,16.04166603088379,14.670832633972168,16.04166603088379,144840,-3.8180316868405617,,,,-0.11033182679299769,-11.033182679299768,16.63541603088379,-11.03318267929976,41.43337424841289,-0.31213810441696666,-0.25104853542587313,-0.061089568991093524,,,,,
2000-01-25,4.656388282775879,14.522915840148926,15.0,14.375,14.583333015441895,1257504,-1.8721915338852368,,,,-0.12698811901145068,-12.698811901145069,16.63541603088379,-12.698811901145056,43.32552347994631,-0.37261390449821974,-0.2753616092403425,-0.09725229525787726,,,,,
2000-01-26,4.656388282775879,14.522915840148926,14.522915840148926,14.522915840148926,14.522915840148926,0,0.0,,,,-0.12698811901145068,-12.698811901145069,16.63541603088379,-12.698811901145056,25.595699486185993,-0.4157489170462316,-0.3034390708015203,-0.1123098462447113,,,,,
2000-01-27,4.888172626495361,15.245833396911621,15.685416221618652,14.585415840148926,14.791666030883789,3257688,4.977771438736656,,,,-0.08353158294282503,-8.353158294282503,16.63541603088379,-8.353158294282489,41.48872823878102,-0.3871376383942735,-0.32017878432007096,-0.06695885407420255,,,,,
2000-01-28,5.0130815505981445,15.635416030883789,16.350000381469727,14.056249618530273,14.056249618530273,1918440,2.555338392003459,15.50708293914795,,,-0.06011271363117665,-6.011271363117665,16.63541603088379,-6.0112713631176495,44.373543600124904,-0.3292317525421762,-0.321989377964492,-0.007242374577684174,15.50708293914795,16.51847763109252,14.49568824720338,14.056249618530273,16.958332061767578
2000-01-31,5.105930328369141,15.925000190734863,16.04166603088379,15.416666030883789,15.416666030883789,747624,1.8521039624342261,15.471562147140503,,,-0.04270502395792419,-4.27050239579242,16.63541603088379,-4.270502395792404,55.80247785710148,-0.2570112337520758,-0.3089937491220088,0.05198251536993298,15.471562147140503,16.35832456577251,14.584799728508496,14.056249618530273,16.57291603088379
