Date,Adj Close,Close,High,Low,Open,Volume,Daily Return,MA20,MA50,30D Volatility,Cumulative Return,Cumulative Return %,Running Maximum,Drawdown,RSI,MACD,MACD Signal,MACD Histogram,BB Middle,BB Upper,BB Lower,Support 20D,Resistance 20D
2000-01-03,4.193319320678711,15.047222137451172,15.18055534362793,13.888888359069824,14.444443702697754,426600,,,,,,,15.047222137451172,0.0,,0.0,0.0,0.0,,,,,
2000-01-04,4.093458652496338,14.688887596130371,14.888888359069824,14.116665840148926,14.444443702697754,439200,-2.381399955736274,,,,-0.02381399955736274,-2.381399955736274,15.047222137451172,-2.3813999557362724,,-0.028585091615333624,-0.005717018323066725,-0.0228680732922669,,,,,
2000-01-05,4.045464992523193,14.516666412353516,14.722222328186035,14.277776718139648,14.716666221618652,340200,-1.1724589942551211,,,,-0.03525938012021179,-3.525938012021179,15.047222137451172,-3.5259380120211765,,-0.06439350464527216,-0.017452315587507813,-0.04694118905776434,,,,,
2000-01-06,4.026886940002441,14.449999809265137,14.61111068725586,14.225000381469727,14.333333015441895,326700,-0.45924182036480854,,,,-0.039689872504746426,-3.9689872504746426,15.047222137451172,-3.9689872504746435,,-0.09703283356585857,-0.03336841918317797,-0.0636644143826806,,,,,
2000-01-07,4.09423303604126,14.691665649414062,14.833333015441895,14.069443702697754,14.438887596130371,317700,1.6724279815836018,,,,-0.023629377222534664,-2.3629377222534664,15.047222137451172,-2.3629377222534753,,-0.10222098340838848,-0.047138932028220074,-0.055082051380168404,,,,,
2000-01-10,3.891417980194092,13.963888168334961,14.416666030883789,13.922222137451172,14.005555152893066,423900,-4.95367576724105,,,,-0.0719956121615225,-7.199561216152251,15.047222137451172,-7.199561216152254,,-0.1631771849561865,-0.07034658261381335,-0.09283060234237314,,,,,
2000-01-11,3.7118258476257324,13.319443702697754,14.222222328186035,13.058333396911621,13.888888359069824,711000,-4.6150789656033915,,,,-0.11482374746453261,-11.48237474645326,15.047222137451172,-11.48237474645326,,-0.26048399898371066,-0.10837406588779283,-0.15210993309591783,,,,,
2000-01-12,4.00908088684082,14.38611125946045,14.38611125946045,14.38611125946045,14.38611125946045,6300,8.00834915159896,,,,-0.043935742554453094,-4.393574255445309,15.047222137451172,-4.393574255445313,,-0.24866276329219694,-0.13643180536867366,-0.11223095792352328,,,,,
2000-01-13,4.218864917755127,15.138888359069824,15.538887977600098,14.888888359069824,15.538887977600098,152820,5.232665631682365,,,,0.006091903261699283,0.6091903261699283,15.138888359069824,0.0,,-0.17651675287226176,-0.1444487948693913,-0.03206795800287046,,,,,
2000-01-14,4.289306640625,15.391666412353516,15.661110877990723,14.444443702697754,15.388888359069824,153144,1.6697266489335671,,,,0.0228908878832228,2.28908878832228,15.391666412353516,0.0,,-0.0978158828753557,-0.13512221247058417,0.03730632959522848,,,,,
