Date,Reliance Industries,ONGC,Bharat Petroleum,Indian Oil Corporation,Nifty 50
2007-09-17,1289.8166111516916,587.4912289435333,153.23732659584678,215.5713506698755,100.0
2007-09-18,1308.7349515540886,597.7512478926343,155.7420191752824,215.93131668871823,101.14692565803331
2007-09-19,1382.405125850275,635.1370633139792,155.6418328479758,214.96215400582935,105.2885141329595
2007-09-20,1392.834095105552,636.7533584149023,161.37758607820518,221.85710421420603,105.6266874581683
2007-09-21,1450.1614191599413,650.7027661971908,161.40263839282693,224.98613906466636,107.62906810973072
2007-09-24,1497.8864336272284,653.092080390447,163.2811606938012,223.79545493148885,109.73491378584544
2007-09-25,1525.9300372291873,654.040806111258,175.07827845080155,241.2405353325192,109.88286529459992
2007-09-26,1476.5517034255502,658.2923789501722,182.9680721148935,259.26712855418594,109.91957343382317
2007-09-27,1474.2305700859272,683.5910452348866,181.9912382252688,250.0461524147689,111.2556019564493
2007-09-28,1461.3534588781492,673.2958978276571,179.0356957073633,260.54088956909794,111.71838089186548
2007-10-01,1457.6333630231532,702.3893383199445,189.05448895628618,272.61398607036205,112.77741994252499
2007-10-03,1523.577151736345,721.7147512904361,190.33188182783064,277.1275680123837,115.93338564523816
2007-10-04,1542.6545925000607,693.3591370945178,187.8772709464581,274.8846189630778,115.8855531690618
2007-10-05,1585.0061917760013,678.7421599321171,189.58047290744094,278.42901287070555,115.37828774944343
2007-10-08,1539.665814954776,660.3303442243081,187.40138015895664,263.7530013012928,113.13673385338885
2007-10-09,1653.366540086085,692.3752829155784,189.60551375647248,266.21747180088727,118.52424806706499
2007-10-10,1665.0672934462473,709.7681159863196,186.3744531056787,259.571726886209,121.06505097260273
2007-10-11,1672.7935941304363,748.9108046789369,188.40325489761284,261.70388985886564,122.92058820366185
2007-10-12,1631.5866005488922,768.6578234848057,188.7789593578077,251.67990480002857,120.77136413159613
2007-10-15,1695.5592087983177,836.6128606668472,180.4383272208361,249.04928053696517,126.15887834527226
2007-10-16,1686.1476668269486,826.0717497148828,175.92987369849786,256.7472650162668,126.10659178887052
2007-10-17,1709.0404599053186,793.7456546829137,177.68315735754376,238.5545433826361,123.68704850156593
2007-10-18,1642.6514618566116,768.5875665685488,175.25359879079298,244.06497185095648,119.05265407233838
2007-10-19,1570.2529867665048,778.1448233415737,161.97871550763497,235.92394447107762,116.03350467781628
2007-10-22,1532.5754063230295,770.2389901276005,171.24608837057798,240.10521888616134,115.3371255299948
2007-10-23,1653.271113828816,803.8650954616654,176.30557815869273,246.50175850714112,121.78257070607927
2007-10-24,1662.9370126211625,778.566429176951,172.64871988405076,246.44636546881648,122.28204691710837
2007-10-25,1671.2037791005248,787.6318231983416,180.21290225160115,243.84345040066785,123.90175689564948
2007-10-26,1715.8765117160883,812.0168922203735,180.91421800833757,247.2217158963316,126.86860887015953
2007-10-29,1798.2904988791765,868.552413983732,173.97620591924854,247.6924426403187,131.3984410501939
2007-10-30,1761.1532144332639,855.9733377576318,170.1690681536467,259.82093217990746,130.5719049872988
2007-10-31,1770.2467254796065,875.8609347338501,171.92236327828283,266.7989592700186,131.2816355121861
2007-11-01,1704.6207978938305,933.0640258773208,171.62179283077282,267.2420275221008,130.52073738275857
2007-11-02,1725.4150623003352,960.1195010954722,171.8722586490393,274.1646615738874,131.9880309087095
2007-11-05,1692.2524003280066,912.7548230657252,173.17470383520552,268.1557971666651,130.09466658656567
2007-11-06,1695.463782541049,916.1631198960495,172.24796310923415,269.65110498337066,128.74195155850984
2007-11-07,1762.0434633066832,908.8194706878028,174.45209670674998,279.01052569134185,128.64962173452093
2007-11-08,1744.2062242922436,869.0794695313302,174.5021898704033,283.6902360453275,126.78963042323647
2007-11-12,1701.4413376316184,830.1827443834478,175.97996686215117,288.50839096786723,124.97302837151332
2007-11-13,1712.569703245777,829.480046545207,181.2398293048791,287.78843357867675,126.7150951929285
2007-11-14,1836.7948238896324,868.3415788971256,181.26487015391064,299.2800426108095,132.11039861519387
2007-11-15,1828.3054527425127,870.6957646322534,213.57546519625822,330.0442966846062,131.53638717385675
2007-11-16,1832.470588135413,875.1230440996455,217.50784160378842,342.9204274567953,131.41958163584894
2007-11-19,1812.9163556805736,890.6536185247287,208.51597540814345,331.98264740188904,131.43737622952983
2007-11-20,1770.914539482879,857.8355964032899,198.3469141338509,318.0542770650765,128.61735681191277
2007-11-21,1722.998672501054,838.7913397734969,190.48216131879053,289.4775790022611,123.72598368090186
2007-11-22,1732.6963234466198,807.0274287472547,197.97120967365603,285.3239884305872,122.79822049717748
2007-11-23,1787.6706771093613,802.6353420758264,198.2968095046074,275.2445849819206,124.7839146433102
2007-11-26,1834.3147599863016,831.6233971937284,197.44521425691107,279.78585076735203,127.52272857389151
2007-11-27,1808.0834062844006,824.104041357004,203.83219008022357,295.73564870318177,126.77627904617066
2007-11-28,1775.6520626217834,808.3275033871861,192.61113797244107,297.84012783242855,124.98303375660494
2007-11-29,1788.5291738295614,799.2270452455023,191.5090883720685,292.6342976961313,125.36238016487266
2007-11-30,1813.3933171693084,820.4849094400734,193.53787869841244,300.8307181143348,128.2135455532364
2007-12-03,1866.332816264234,822.4174893398239,201.80337682269922,305.98115521230744,130.48847246015038
2007-12-04,1820.2928732865169,813.6683801172605,210.09393872719798,331.73341675668564,130.3405209513959
2007-12-05,1845.029838215775,848.0323760855301,215.15340558413226,341.702034128703,132.15712300311907
2007-12-06,1827.4787081755321,840.8995619638899,212.273020010092,332.42569030246625,132.48418285498505
2007-12-07,1806.9070484367849,837.4210082173088,210.9956156729573,327.3029370479034,132.92024817265926
2007-12-10,1795.1426209725732,839.0021748601034,213.72573322162788,341.97894861731623,132.61544785830984
2007-12-11,1835.0141563451828,871.6092975571005,220.06262734687732,348.9569757074274,135.6557269748767
2007-12-12,1831.9936266466786,881.4828391289526,220.4383318070722,371.6909631264896,137.03625284531535
2007-12-13,1801.3745328841196,864.6873185220667,214.55228762029267,373.1308779048705,134.78469356416912
2007-12-14,1836.9220023001208,870.5903792578679,209.8184205943097,366.2359276964938,134.5533095282662
2007-12-17,1764.7143797245524,819.5011195989695,199.57421384174205,341.7297433236178,128.53058915640045
2007-12-18,1734.4768211934586,808.4680815575354,209.74327511603462,355.2981476415875,127.75855582640949
2007-12-19,1719.3740029033268,829.5854319195926,211.62179741700888,350.4799673675428,127.95545876320188
2007-12-20,1725.6376669680928,836.6128606668472,216.7313689031867,348.1539667880074,128.29697808038486
2007-12-24,1773.2674249757217,877.6880649213796,225.99875323171995,358.62102009892664,133.16054036901295
2007-12-26,1841.9138822600019,869.2199833638442,237.24484618853396,384.29020476157035,135.06613711636112
2007-12-27,1840.2286409728215,876.6690822843117,237.9211096306486,395.2003009730668,135.3053103608533
2007-12-28,1840.8645330252639,861.314150149871,237.5704460194853,409.0455944281448,135.26526709326617
2007-12-31,1833.138232341075,869.255176159808,262.31685869428253,440.2529167540237,136.57571181362215
2008-01-01,1811.2311143933932,878.3556343014917,260.4633772423398,430.4781369888851,136.70364168858308
2008-01-02,1819.815911797782,891.9185647065314,261.03945435714786,427.9859826458808,137.483453363553
2008-01-03,1846.4924748351982,917.6037083684946,271.65936556991034,434.79788132402797,137.46453981801062
2008-01-04,1903.2792481956087,943.8511003740199,269.20476615412804,433.55180415252585,139.59485034453397
2008-01-07,1920.6077735680942,912.7899515238537,260.68879074598453,419.42957085732957,139.70165049745015
2008-01-08,1942.4829695649457,928.2502046948445,245.91108962204714,401.2368492236989,139.89632639412983
2008-01-09,1929.1288968684335,914.4765035410339,231.78461109119283,398.63393415555026,139.5436827399937
2008-01-10,1925.4088010134371,909.4519116097865,219.0106594445678,378.6966994115155,136.9839771525239
2008-01-11,1988.872695620909,915.0386875467606,217.6581096291581,377.7275367286266,137.9440052588565
2008-01-14,2048.1712850378694,905.7625227765991,233.93862859387494,381.49345208654296,138.09306485586217
2008-01-15,2013.0055206509446,897.5755975597624,221.06451355112372,373.8785191374708,135.144007475033
2008-01-16,1967.283608598254,881.3071325004747,222.59237224093468,370.1679968178791,132.0625661390175
2008-01-17,1905.5367074311816,879.0232680194392,222.06637682418972,362.4976961819873,131.5608628878757
2008-01-18,1780.2941595034185,851.686636460589,220.06262734687732,336.6623577558746,126.93535489187828
2008-01-21,1615.7205419982188,784.6451322033947,204.18285369138692,273.9985078104184,115.88888829742565
2008-01-22,1499.1264655788937,674.1040453781187,196.81903251285954,246.2802370568525,109.0029237234416
2008-01-23,1622.0161280138148,696.8376908410991,201.47777699174787,254.5320251618757,115.76874763105398
2008-01-24,1582.7168105895978,665.6711566165473,199.67440016904868,261.15008623314407,111.98759201885315
2008-01-25,1663.1594474913093,714.1251385374546,205.5353805756162,280.0350814125554,119.77240084592762
2008-01-28,1631.9998879335772,702.8461369512856,196.66876448748985,275.21690113851076,117.3417332216699
2008-01-29,1638.6770091806384,716.6549665632249,190.60738849512867,263.25456536239085,117.49079281867559
2008-01-30,1571.906306102855,680.4287119492973,180.0375819116097,252.23370842575014,114.97224945065439
2008-01-31,1576.3577202675629,695.3971023686537,181.11459066295075,264.0852834767257,114.30145410510303
2008-02-01,1616.960573949884,734.996525354777,193.4126515220743,272.64169526527684,118.3017613280025
2008-02-04,1647.7705202269813,739.6346399087754,216.48091455051045,290.5575024102943,121.55562988679141
2008-02-05,1664.240548879267,755.2354712501156,215.87977365549045,293.7419302990793,122.00950066175682
2008-02-06,1623.160733708211,722.5580272990261,215.32873738971392,291.6928188566522,118.4196749542615
2008-02-07,1542.3683137282535,692.9023384631766,213.80087869990297,279.8135346107619,114.20800532925269
2008-02-08,1542.9724536274766,700.1406022970377,219.41140475379424,285.68395444942996,113.92099960858413
2008-02-11,1447.9674642308066,661.8411896130103,211.69694289528397,266.1897626059725,108.06180916265137
2008-02-12,1478.3958752764383,658.6437278692925,209.41767528508328,256.2765382722797,107.64464652690921
