Stock,Latest Price,Total Return %,RSI,MACD,MACD Signal,30D Volatility,Max Drawdown %,Support,Resistance
Reliance Industries,1247.4000244140625,6840.444061079173,31.666660611587247,-17.933937401689263,-12.53028994649388,1.00208079179542,-77.58978900705155,1226.4000244140625,1333.0
ONGC,235.6300048828125,893.5208100326489,48.587196618883546,-1.1704554095303479,-1.4743705320469696,0.9504180512660152,-80.67217778828127,230.7899932861328,243.16000366210938
Bharat Petroleum,312.75,1780.025118815045,44.354844947476714,-1.9998311078450683,-2.271643647721861,1.2347144930384517,-90.01341134960943,296.0,326.3500061035156
Indian Oil Corporation,136.52999877929688,807.3435450885389,50.0,-1.0160084356264178,-1.2217063904893866,1.1260564774190172,-87.0583387385494,131.6999969482422,141.14999389648438
