,Reliance Industries,ONGC,Bharat Petroleum,Indian Oil Corporation
Reliance Industries,1.0,0.42751530052570186,0.8839213135911007,0.8947474141203393
ONGC,0.42751530052570186,1.0,0.3906501435556133,0.40802122725634443
Bharat Petroleum,0.8839213135911007,0.3906501435556133,1.0,0.9518306659315734
Indian Oil Corporation,0.8947474141203393,0.40802122725634443,0.9518306659315734,1.0
