Rank,Stock,Valuation Score,Quality Score,Momentum Score,Overall Score
1.0,Bharat Petroleum,68.39949362593781,39.65301391980743,96.61290696848603,67.93611692889439
2.0,Indian Oil Corporation,97.24203116095384,50.0,46.66282060065349,64.48860108133042
3.0,ONGC,96.39815280662192,47.27697592602457,29.152317971330127,57.50582717157254
4.0,Reliance Industries,0.0,50.0,43.418418628494585,31.328078147403215
